object_id,Size in pixels,Radii of the object_0,Radii of the object_1,Radii of the object_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Center of the object_0,Center of the object_1,Center of the object_2
0,3164,5.228416,3.784744,3.5188322,43,109,86,21,93,66,31.465235,100.23199,74.74146
1,487,3.3369894,2.2059507,1.5269377,7,121,79,0,109,66,1.9486653,114.15401,72.275154
2,66188,64.5558,14.100095,6.0280294,251,280,131,43,210,69,173.35097,245.22646,100.05649
3,1555,6.2719507,2.8386858,1.8907645,268,225,84,249,201,74,258.00385,212.76013,78.61093
4,3812,8.16795,3.9894547,2.777917,119,294,99,88,274,79,104.10703,283.3691,87.231636
5,4197,6.564849,4.555498,3.2977839,215,104,101,192,75,82,203.99976,90.280914,93.080536
6,851747,69.79179,46.810936,12.208753,253,274,327,0,170,83,110.67906,219.93983,201.41821
7,17623,10.198605,9.003685,5.5096517,44,148,132,0,110,93,16.461271,128.59422,112.7337
8,2548,9.869669,2.9398537,2.4283953,253,145,113,237,105,94,244.85478,128.70172,104.30848
9,410,2.8221107,2.0718727,1.5514824,11,246,106,0,239,97,4.1926827,241.9122,101.02927
10,4072,9.602151,3.761597,2.5349746,101,306,131,68,290,101,85.360016,297.47028,114.377945
11,10360,20.545383,7.785165,2.685424,229,206,129,165,151,104,201.89827,179.27008,115.40164
12,14268,13.055199,7.0556355,4.162496,53,302,156,14,276,104,33.423256,289.21048,126.70515
13,2348,8.591072,4.168776,2.0101864,113,164,125,80,141,106,98.529816,147.36499,114.051956
14,30677,32.56104,7.8455667,5.4109445,293,244,142,257,122,107,275.9073,183.91971,126.0677
15,6403,11.278488,5.226276,2.7983916,232,138,123,193,103,109,212.02031,120.46228,114.4298
16,3467,10.798753,5.3101788,1.799303,178,157,123,141,120,114,155.81137,140.41159,117.65446
17,5861,9.258116,5.880217,3.0155842,78,125,143,37,105,116,55.147243,115.90479,129.70398
18,11517,16.024347,4.972854,3.7508912,191,323,179,152,297,122,172.13615,310.9347,154.24295
19,3586,9.126744,4.035806,2.4994876,11,139,161,0,108,130,3.409091,123.42694,144.1174
20,31466,13.427867,9.521227,5.7594995,168,296,188,120,264,133,142.67384,281.53915,158.96173
21,223,2.2719007,1.56925,1.4821168,7,189,143,0,180,136,2.0852017,184.43947,139.03587
22,1071962,58.319584,55.57519,21.08923,265,187,422,0,72,138,129.5172,129.7847,275.1827
23,2039,5.1166735,3.4670177,2.5311778,105,312,160,89,300,138,95.79108,305.40314,148.923
24,15142,18.081497,6.3722973,4.3078284,141,111,187,84,83,139,109.60619,95.337074,160.40193
25,522,2.5782187,2.248308,2.097899,9,105,149,0,94,139,2.8850574,98.293106,143.3774
26,371569,77.474205,23.203691,12.257638,243,312,415,72,235,143,142.95555,269.54517,285.36432
27,104,2.027404,1.4408522,0.76764625,32,167,154,26,163,145,28.278847,164.22116,148.46153
28,700,3.6198878,2.397949,2.0923648,16,299,157,0,288,145,4.4085712,292.46286,150.67714
29,2686,6.9765997,3.4484284,2.4824078,71,103,171,47,89,147,58.302307,95.49479,157.22115
30,216287,60.06494,27.426725,7.7893515,130,213,400,0,159,151,63.676804,187.05312,275.55426
31,1268,4.3780785,3.0505545,2.1493943,257,270,165,244,252,151,249.62067,260.66876,158.54022
32,156,1.6574262,1.5270658,1.3146443,269,142,160,262,135,154,264.7436,137.75,156.48077
33,6841,6.4334664,6.120503,3.8471687,27,181,183,0,163,154,15.140184,171.70428,167.85718
34,377,2.756294,1.7994032,1.638989,80,309,165,68,302,156,73.42971,305.2175,159.99203
35,13280,21.277239,7.636909,3.77779,285,182,212,226,133,160,250.94014,157.13321,193.95782
36,2553,4.930397,4.3864646,2.6810243,22,275,181,0,263,161,12.343517,268.25812,170.90913
37,940,3.3164082,2.67684,2.273164,102,298,189,90,288,174,95.1883,292.46915,180.98085
38,11093,8.166278,6.850261,4.38265,55,300,212,19,278,179,38.161816,288.6661,193.45659
39,33084,18.394768,8.943238,5.2196293,103,293,247,45,266,186,74.41654,278.81796,215.86673
